Region,TimeDiff,R1-OCC,R1Light,R1-Temp,"R1_Corr(O,Temp)",R2-OCC,R2Light,R2-Temp,"R2_Corr(O,Temp)",R3-OCC,R3Light,R3-Temp,"R3_Corr(O,Temp)",R4-OCC,R4Light,R4-Temp,"R4_Corr(O,Temp)",R5-OCC,R5Light,R5-Temp,"R5_Corr(O,T)"
4,12,8,0,19.19,0.5,-6,0,19.87,0,3,0,18.75,0.5,4,0,20.5,0.5,4,1,20.62,0.5
4,14,9,0,19.12,0.5,-6,0,19.94,0,3,0,18.75,0.5,3,1,20.44,0.5,3,0,20.62,0.5
5,36,9,0,19.12,0.5,-6,0,19.94,0,3,0,18.75,0.5,2,0,20.44,0.5,2,1,20.62,0.5
3,486,9,0,19.06,0.5,-7,0,19.87,0,4,0,18.75,0.5,2,0,20.31,0.5,2,0,20.62,0.5
4,20,8,0,19.06,0.5,-7,0,19.87,0,4,0,18.75,0.5,3,1,20.31,0.5,3,0,20.62,0.5
5,12,8,0,19.06,0.5,-7,0,19.87,0,4,0,18.75,0.5,2,0,20.31,0.5,2,0,20.62,0.5
5,21,8,0,18.87,0.5,-7,0,19.81,0,4,0,18.75,0.5,3,0,20.19,0.5,3,1,20.62,0.5
4,27,9,0,18.87,0.5,-7,0,19.81,0,4,1,18.75,0.5,2,0,20.19,0.5,2,0,20.62,0.5
4,24,8,0,18.87,0.5,-7,0,19.69,0,4,1,18.62,0.5,3,0,20.25,0.5,3,1,20.62,0.5
5,27,8,0,18.87,0.5,-7,0,19.69,0,4,0,18.62,0.5,4,1,20.25,0.5,4,0,20.62,0.5
5,60,8,0,18.94,0.5,-7,0,19.56,0,4,0,18.5,0.5,5,0,20.31,0.5,5,0,20.62,0.5
4,66,9,0,18.94,0.5,-7,0,19.56,0,4,0,18.5,0.5,4,0,20.31,0.5,4,0,20.62,0.5
1,24829,8,0,18.94,0.5,-7,0,19.56,0,4,0,18.5,0.5,4,1,20.31,0.5,4,0,20.62,0.5
4,22,7,0,18.81,0.5,-7,0,19.62,0,4,0,18.5,0.5,5,0,20.25,0.5,5,1,20.62,0.5
5,32,7,0,18.81,0.5,-7,0,19.62,0,4,0,18.5,0.5,4,0,20.25,0.5,4,0,20.62,0.5
5,531,7,0,19.25,0.5,-7,0,19.81,0,4,1,18.69,0.5,5,0,20.37,0.5,5,0,20.81,0.5
4,537,8,0,19.25,0.5,-7,0,19.81,0,4,1,18.69,0.5,4,0,20.37,0.5,4,0,20.81,0.5
4,23,7,0,19.31,0.5,-7,0,19.81,0,4,0,18.69,0.5,5,0,20.31,0.5,5,1,20.75,0.5
5,27,7,0,19.31,0.5,-7,0,19.81,0,4,0,18.69,0.5,4,0,20.31,0.5,4,0,20.75,0.5
